Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
cov_nii_6584_ew_halpha_ew,230,28,-1406.9913330078125,0.97046160697937,6.460775109134217e-05,0.9383097361182714,0.000152814461197
cov_nii_6584_ew_oiii_5007_ew,230,26,-1447.218994140625,0.9065042734146118,4.7786636393588766e-05,0.7837258675153942,0.0001111671581764
cov_nii_6584_ew_hbeta_ew,230,20,-1456.513427734375,0.9629682302474976,4.9649894130403295e-05,0.926013150479004,0.0001086396657375
cov_halpha_ew_oiii_5007_ew,230,28,-1363.0091552734375,0.9458147883415222,8.102358826571255e-05,0.9091620675229416,0.0001482264560036
cov_halpha_ew_hbeta_ew,230,16,-1370.358154296875,0.9631097912788392,8.817857255913709e-05,0.9303898783294936,0.0001819980184402
cov_oiii_5007_ew_hbeta_ew,230,33,-1395.1910400390625,0.954911768436432,6.11534104093069e-05,0.8955284534724559,0.0001524551876275
nii_6584_ew_mean,100,32,-1275.03369140625,0.9910799860954284,0.000145655530776,0.970249920822916,0.0004954384743788
halpha_ew_mean,100,19,-1205.1422119140625,0.9963459372520448,0.000256569551796,0.9896081809795476,0.0007308468923957
oiii_5007_ew_mean,100,27,-1158.0911865234375,0.9963005781173706,0.0003395659947476,0.9897911584210948,0.0009106409523257
hbeta_ew_mean,100,28,-1228.3026123046875,0.9964610934257508,0.0002126382190263,0.989716567458,0.0006224048528655
nii_6584_ew_std,100,23,-1296.9451904296875,0.9626826643943788,0.0001391259900812,0.9257640321460407,0.0003119119283262
halpha_ew_std,100,27,-1249.564208984375,0.96756112575531,0.000184536710857,0.9393958556725344,0.0003748315643332
oiii_5007_ew_std,100,32,-1218.580322265625,0.9340430498123168,0.0002122148696041,0.8578199707455345,0.0005500049108336
hbeta_ew_std,100,23,-1281.7598876953125,0.9568508267402648,0.0001539480024938,0.9146624094318468,0.0003286634117686
cov_nii_6584_ew_halpha_ew,100,24,-1405.8404541015625,0.9702340364456176,6.510540443967405e-05,0.9396652312133508,0.0001494567311506
cov_nii_6584_ew_oiii_5007_ew,100,28,-1455.2725830078125,0.905269742012024,4.8417630453298177e-05,0.7835033123261136,0.0001112815538632
cov_nii_6584_ew_hbeta_ew,100,24,-1456.0986328125,0.9640856385231018,4.815173960450486e-05,0.929102109240997,0.0001041039482478
cov_halpha_ew_oiii_5007_ew,100,26,-1367.568603515625,0.9456515908241272,8.12676808199262e-05,0.9060544601466208,0.0001532973511184
cov_halpha_ew_hbeta_ew,100,16,-1370.3587646484375,0.9631099700927734,8.817827525383548e-05,0.9303896817954688,0.0001819985322851
cov_oiii_5007_ew_hbeta_ew,100,23,-1392.3564453125,0.9492083191871644,6.888900124636423e-05,0.9178072316630302,0.0001199437965162
nii_6584_ew_mean,160,32,-1278.0567626953125,0.9915452003479004,0.0001380596059593,0.9703247788457154,0.0004941918375417
halpha_ew_mean,160,25,-1204.72705078125,0.9965726137161256,0.0002406538099386,0.9894982391614848,0.0007385789974215
oiii_5007_ew_mean,160,38,-1154.0469970703125,0.9966747760772704,0.00030521398843,0.9891823082734952,0.0009649511180725
