Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_std,390,20,-1345.477294921875,0.952638566493988,0.0001006684258133,0.908310170485049,0.0002135316403664
cov_nii_6584_ew_halpha_ew,390,25,-1552.1168212890625,0.9344843029975892,2.3746314479233916e-05,0.8487380570248004,6.717168654360468e-05
cov_nii_6584_ew_oiii_5007_ew,390,41,-1522.073974609375,0.9543060064315796,2.5383394333535847e-05,0.8440774459192673,9.716492975993296e-05
cov_nii_6584_ew_hbeta_ew,390,34,-1584.3841552734375,0.9133358001708984,1.852103262307602e-05,0.8379297315497148,4.1703206515917774e-05
cov_halpha_ew_oiii_5007_ew,390,38,-1499.713134765625,0.9598428606987,3.0464804992119064e-05,0.8497182070975883,0.0001197910919798
cov_halpha_ew_hbeta_ew,390,29,-1532.2652587890625,0.9600492119789124,2.6215912940911388e-05,0.907054226073712,6.780511160362096e-05
cov_oiii_5007_ew_hbeta_ew,390,28,-1502.4832763671875,0.9494454264640808,3.1973684195687126e-05,0.8195609271882703,0.0001220208398992
nii_6584_ew_mean,830,43,-1285.364013671875,0.9965304732322692,0.0001229972708853,0.992908793266105,0.0002636035098474
halpha_ew_mean,830,38,-1288.3973388671875,0.9990905523300172,0.0001288628234491,0.9983026467733268,0.0002446026103655
oiii_5007_ew_mean,830,26,-1191.510498046875,0.9977487325668336,0.0002717474028105,0.9951734245881292,0.0005720088369793
hbeta_ew_mean,830,31,-1306.6495361328125,0.9990118145942688,0.0001140990399343,0.99799591941634,0.0002361013907952
nii_6584_ew_std,830,20,-1333.57861328125,0.8669520020484924,0.0001089792621179,0.7250571858173365,0.0002861224335591
halpha_ew_std,830,24,-1347.503662109375,0.9635299444198608,9.605487173633168e-05,0.9047764241634868,0.0002797976621495
oiii_5007_ew_std,830,26,-1195.325927734375,0.8736525177955627,0.000256219215494,0.7669220121849912,0.0005891966100715
hbeta_ew_std,830,20,-1345.779541015625,0.952733874320984,0.0001004658394687,0.9086081926159176,0.0002128375922391
cov_nii_6584_ew_halpha_ew,830,31,-1547.9766845703125,0.9348634481430054,2.360890083306733e-05,0.8551625737429879,6.431871761632475e-05
cov_nii_6584_ew_oiii_5007_ew,830,43,-1514.672607421875,0.9535718560218812,2.579121769977764e-05,0.8493711424801301,9.38661019698218e-05
cov_nii_6584_ew_hbeta_ew,830,28,-1584.354248046875,0.9133185744285583,1.852471957991544e-05,0.8387677275677983,4.148757707730566e-05
cov_halpha_ew_oiii_5007_ew,830,40,-1499.0330810546875,0.9609856605529784,2.9597840393792555e-05,0.8606695945211467,0.0001110616335882
cov_halpha_ew_hbeta_ew,830,29,-1532.635498046875,0.9587939977645874,2.703958633148611e-05,0.9105494689429852,6.525528795030692e-05
cov_oiii_5007_ew_hbeta_ew,830,29,-1496.5826416015625,0.9491446614265442,3.216393307088983e-05,0.8259961426090114,0.0001176690640985
