seed,p_energy,p_wasserstein,d_ks2d,d_kl
13439,0.053575,0.1,0.123,0.5528413978181533
12581,0.05032500000000001,0.045,0.121,0.561917811673273
19276,0.055175,0.155,0.10649999999999998,0.5610174261266048
18155,0.062275,0.03,0.12450000000000003,0.520445139625153
15510,0.060274999999999995,0.145,0.1365,0.5416778324040225
11966,0.05710000000000001,0.01,0.131,0.540504829254287
18705,0.05630000000000001,0.005,0.11450000000000002,0.5313794756532474
10837,0.047925,0.035,0.1385,0.5514067432890054
13633,0.06225000000000001,0.005,0.12949999999999998,0.5411155260198843
15350,0.06090000000000001,0.045,0.12250000000000001,0.5458293760026836
10594,0.06215000000000001,0.23,0.131,0.5328587984098303
13720,0.05870000000000001,0.415,0.1335,0.5676626174658475
11710,0.060775,0.01,0.1305,0.5218665032428511
19298,0.0571,0.015,0.11349999999999999,0.539135705161346
17682,0.057725000000000005,0.01,0.097,0.5343540640435798
17806,0.0645,0.08,0.14349999999999996,0.5353942628027749
14694,0.064525,0.08,0.1445,0.5326220008365192
11296,0.06085000000000001,0.315,0.13549999999999998,0.5423151935569807
10372,0.06555,0.09,0.13,0.5374454505838798
10653,0.06585,0.035,0.128,0.5200699739996785
16942,0.059725,0.005,0.13849999999999998,0.5431245581815933
11535,0.061875,0.035,0.1335,0.5209289882982843
19490,0.068275,0.09,0.14450000000000002,0.5559510422556125
18192,0.053275,0.175,0.11400000000000002,0.539040058556397
17617,0.063575,0.085,0.13149999999999998,0.5576624693906288
18361,0.0692,0.005,0.11299999999999999,0.5346470411382676
19411,0.059425,0.015,0.12100000000000002,0.5370106488763066
15695,0.0629,0.135,0.129,0.5617610688350381
14156,0.06815,0.025,0.11900000000000001,0.5414593663883291
10442,0.070075,0.115,0.11650000000000002,0.5281790511673325
17449,0.05737500000000001,0.025,0.10850000000000001,0.5586546448061667
13889,0.05952500000000001,0.115,0.11950000000000001,0.5238328731211276
10954,0.052625000000000005,0.145,0.14800000000000002,0.5510246459922652
14680,0.05035,0.255,0.1245,0.5654743434953404
12886,0.06484999999999999,0.015,0.1355,0.5341198669973044
16016,0.058600000000000006,0.045,0.12250000000000003,0.5603297083290846
19645,0.054900000000000004,0.05,0.142,0.5318815830624004
11323,0.0582,0.03,0.14650000000000002,0.552449870889183
10708,0.058550000000000005,0.02,0.11599999999999999,0.5532748910209564
18832,0.061550000000000014,0.155,0.141,0.5485343207960635
16669,0.07190000000000002,0.095,0.1275,0.541310676867792
16741,0.056350000000000004,0.015,0.1395,0.5430483994093982
11320,0.0649,0.08,0.15800000000000003,0.5085667231645936
11769,0.055650000000000005,0.06,0.155,0.5373717848264975
17640,0.060050000000000006,0.1,0.13899999999999998,0.5375344911646083
13099,0.05915000000000001,0.03,0.14850000000000002,0.5465177508031657
10528,0.063,0.07,0.12850000000000003,0.5407066830564915
18538,0.06855,0.29,0.129,0.5462265139880806
18389,0.060025,0.02,0.14450000000000002,0.5676906759244145
11113,0.061075,0.02,0.117,0.5245566886362234
10678,0.06215000000000001,0.28,0.13999999999999999,0.5359433730182518
16896,0.069025,0.01,0.1245,0.5251275684498607
15158,0.051925,0.035,0.1265,0.5486609357616707
13220,0.061500000000000006,0.05,0.13100000000000003,0.5468720887233081
11625,0.052225,0.065,0.132,0.5595757494970085
10595,0.05467500000000001,0.035,0.13949999999999999,0.5299528687935713
11841,0.0539,0.04,0.13849999999999998,0.5352577949905252
15089,0.06315000000000001,0.115,0.1195,0.5444093467198955
10164,0.06720000000000001,0.14,0.1255,0.5273676175237036
19226,0.058550000000000005,0.1,0.131,0.5316754994155859
17105,0.060925,0.19,0.127,0.5309281895471024
12122,0.054325,0.035,0.10849999999999999,0.5543402291885574
11528,0.051875,0.03,0.13050000000000003,0.5637246597210765
13830,0.060274999999999995,0.03,0.132,0.5337279483272662
19847,0.05605,0.035,0.137,0.5457729742683126
16015,0.059125,0.34,0.13250000000000003,0.5470957317787182
11036,0.05755000000000001,0.15,0.10149999999999998,0.5285897921524486
15017,0.05585000000000001,0.005,0.13050000000000003,0.54764080445064
14889,0.060200000000000004,0.08,0.1335,0.5483005074379775
14666,0.05415000000000001,0.145,0.125,0.5693418506413439
15958,0.055175,0.03,0.126,0.5552971365124371
15646,0.060175,0.01,0.125,0.5365556355869489
16240,0.0584,0.27,0.14650000000000002,0.5458046674105179
19351,0.05895,0.065,0.14200000000000002,0.5261639352205953
13752,0.066775,0.035,0.14250000000000002,0.5600048775316958
12391,0.05512500000000001,0.02,0.12699999999999997,0.5340437915284866
16782,0.05602500000000001,0.115,0.1365,0.5666597433955107
11998,0.062875,0.055,0.131,0.5420821467169016
15381,0.05935000000000001,0.03,0.124,0.553992878465758
14228,0.056275000000000006,0.01,0.14300000000000002,0.5534013852848244
15488,0.0525,0.005,0.13099999999999998,0.5505510087171079
16170,0.056325,0.32,0.144,0.5452748733947204
13463,0.05645000000000001,0.005,0.1295,0.5603772274376005
11397,0.05720000000000001,0.595,0.138,0.5679827111109603
10843,0.064625,0.005,0.12950000000000003,0.5360429707738111
16533,0.07205,0.215,0.14250000000000002,0.5341992728744499
16949,0.060500000000000005,0.01,0.147,0.5407725604671035
15082,0.059175000000000005,0.14,0.14750000000000002,0.5299366562364813
11274,0.055125,0.055,0.142,0.5237204575806953
14962,0.047775000000000005,0.185,0.1305,0.5473837813561937
